3D Projection - Rendering a Polyhedron in 2D,Rendered 3D shape in 2D,"Python, VS Code, Math, Pygame, Numpy",November 2021,https://user-images.githubusercontent.com/91236114/183835472-7d172e96-2427-43ad-bd00-b0ba403c4514.gif,https://github.com/claryng/3D-Projection-Rendering-a-polyhedron-in-2D---Computer-Graphics-?tab=readme-ov-file
Engineering Project - Music House,"Built a house model with C++ and other components, including a speaker, a continuous servo, a servo, soft circuits with 2 LEDs, a fan, a button, 3D printed models, Arduino Uno, breadboard, and an automatic LED","C++, Autodesk Tinkercad (CAD), 3D Printing, Arduino Uno",May 2022,https://sites.google.com/mtholyoke.edu/clarydesignnotebook/project-6-final-project?authuser=2,https://sites.google.com/mtholyoke.edu/clarydesignnotebook/project-6-final-project?authuser=2
Donut Testing,A Python program to project 3D shapes on a 2D screen while controlling their rotation by detecting and tracking hand pose.,"Python, VS Code, Numpy, Mediapipe, Math",August 2022,N/A,https://github.com/claryng/3D-Projection-Hand-Pose-Detection-Image-Video-Processing
Hackathon,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","Python, Game Programming, Pygame, Numpy, Machine Learning, Math, VS Code, Atom",November 2022,N/A,N/A
Arcade Video Game - Asteroids,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","JAVA, GIT, JUnit, Eclipse, GitHub",December 2022,N/A,N/A
Mips Processor,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","C, Linux, Computing System, Assembly Language, Makefile",May 2023,N/A,N/A
Research Security,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","Linux, Bash, Documentation, Research",February 2023 - May 2023,N/A,N/A
Android Mobile Game,"Collaborated with a digital artist, wrote 1000+ lines of code for 26 scripts, incorporated software design patterns and SOLID principles, added Google Play Games features","C#, GIT, Unity Game Engine, Visual Studio, Google Cloud Platform",June 2023 - July 2023,N/A,N/A
Machine Learning Project - Evaluation of ML Models on Credit Card Fraud Detection,"Collaborated with a partner, read 5 articles, processed 4 Kaggle datasets, trained 13 models (6 Decision Tree, 4 KNN, 3 Random Forest), and performed undersampling for imbalanced datasets.","Python, NumPy, pandas, GIT, Scikit, TensorFlow, Keras, Jupyter Notebook",November 2023 - December 2023,N/A,N/A
Security Project - Buffer Overflow,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","C, Bash, Linux, Operating Systems, Security, Assembly Language",November 2023 - December 2023,N/A,N/A
Internship Project - Library Migration,"Impact: Reduced query response time by 50%, solved 5+ customersâ€™ issues, and addressed tech debt
Wrote and refactored 10,000+ lines of code in 16 scripts and contributed to 40+ diffs
Generated database schema migrations for 3 tables in the customer databases","Go, SQL, Linux, Testify, Visual Studio Code, Docker, GIT, Google Cloud Logging, Phabricator, Jira, Distributed Systems, Workflow, Task-chain Automation, Cloud and On-premise Computing, RDBMS",June 2024 - July 2024,N/A,N/A
Internship Project - Data Aggregation and Deletion,"Impact: Saved storage space and cost by deleting 98% of stale data in a table in the databases
Authored 2000+ lines of code in 4 scripts
Performed data aggregation to optimize the data deletion process","Go, SQL, Linux, Testify, Visual Studio Code, Docker, GIT, Google Cloud Logging, Phabricator, Jira, Distributed Systems, Workflow, Task-chain Automation, Cloud and On-premise Computing, RDBMS",July 2024 - August 2024,N/A,N/A
Full-Stack Web Application - Meal Planner,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam vehicula faucibus enim. Quisque tempus imperdiet diam, eu feugiat purus egestas in. Vestibulum semper risus nisi. Quisque ac venenatis nunc, quis feugiat erat. Phasellus ultrices a ligula vitae ultrices. Cras scelerisque dui non tincidunt semper. Vivamus elementum, nisi vitae consequat tincidunt.","JavaScript, HTML, CSS, Express.js, Sequelize, API, Databases, Microservices",October 2024 - November 2024,N/A,N/A